"x","nearbycrash","Latitude","Longitude"
6,3,51.504852,-0.146308
10,5,51.501237,-0.150922
11,6,51.513631,-0.144223
15,2,51.541549,-0.135444
22,5,51.503028,-0.150417
25,4,51.513162,-0.160095
26,2,51.588784,-0.070135
28,4,51.523527,-0.173084
29,2,51.519731,-0.189236
30,3,51.573649,-0.073951
33,4,51.493255,-0.198496
35,3,51.533722,-0.325945
50,2,51.515398,-0.398248
56,2,51.513804,-0.248994
59,2,51.646136,-0.193164
60,3,51.538108,-0.29954
61,2,51.578591,-0.470643
77,2,51.615019,0.118905
78,4,51.527968,-0.020085
80,4,51.50321,0.227119
84,5,51.526687,-0.061805
86,2,51.58081,-0.099484
100,2,51.511173,-0.010725
106,2,51.590772,-0.0598
110,2,51.532742,0.108449
117,4,51.500307,0.228418
120,2,51.597744,0.16373
122,2,51.588687,-0.069706
127,2,51.424637,-0.057496
139,2,51.476741,-0.016688
151,2,51.483827,-0.091421
157,2,51.430402,0.083304
166,2,51.474565,-0.32696
178,3,51.463466,-0.167997
179,2,51.447022,-0.128935
180,2,51.433615,-0.128476
187,2,51.410694,-0.227484
188,2,51.441173,-0.106295
189,2,51.447439,-0.406672
191,3,51.502232,-0.22696
193,3,51.48603,-0.122009
196,2,51.515641,-0.221683
200,3,51.511553,-0.224869
202,2,51.503078,-0.223469
203,4,51.479531,-0.114932
205,3,51.449398,-0.131285
232,2,51.657167,-0.401929
235,2,51.654372,-0.401449
237,2,51.655277,-0.401851
258,2,51.645801,-0.328324
259,3,51.687446,-0.172133
261,3,51.702356,-0.379208
262,2,51.699178,-0.377006
270,3,51.687729,-0.167203
277,2,51.968565,0.214163
278,2,51.968568,0.214017
280,2,51.842936,0.723846
320,2,51.485268,0.267008
322,3,51.483442,0.263749
341,3,51.609697,0.264249
353,2,51.603216,0.561865
370,3,51.53322,-0.551752
384,2,51.514947,-0.535758
388,2,51.57254,-0.524816
401,2,51.572536,-0.981387
408,2,51.610057,-1.105901
409,2,51.662682,-0.946112
441,2,51.371995,-1.297167
457,2,51.493041,-0.545823
465,2,51.371906,-1.297312
469,3,51.272874,-1.007524
470,2,51.272837,-1.003224
474,2,51.273057,-1.00795
